<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;240826;000000;263.55;266.95;261.54;265.39;49740810
SBER;D;240827;000000;265.82;266.07;259.82;260.5;32322390
SBER;D;240828;000000;259.9;262.47;254.99;262.47;47819940
SBER;D;240829;000000;262.59;264.19;258.36;260.31;34789950
SBER;D;240830;000000;260.55;261.8;254;254.45;46093930
SBER;D;240902;000000;254.03;254.2;242.65;244.31;97567000
SBER;D;240903;000000;244.39;250;240.01;244.04;105623660
SBER;D;240904;000000;244.51;253.5;242.8;253.01;70628230
SBER;D;240905;000000;255;258.17;251.11;252.82;78275280
SBER;D;240906;000000;253.04;255.35;250.31;254.77;41321430
SBER;D;240909;000000;256;263.45;255.3;263.31;66034220
SBER;D;240910;000000;264.6;264.61;258.7;261.29;57661380
SBER;D;240911;000000;260.8;262;257.5;258.2;38187230
SBER;D;240912;000000;257.79;258.68;252.85;254.93;46294910
SBER;D;240913;000000;255.18;259.92;248.75;258.25;111072970
SBER;D;240916;000000;259.65;264.37;257.8;263.79;52514890
SBER;D;240917;000000;264.12;267;260.55;265.99;57482960
SBER;D;240918;000000;265.73;267.99;263.15;263.4;43207650
SBER;D;240919;000000;263.93;266.19;262.32;264.5;35624340
SBER;D;240920;000000;264.55;269.21;264.5;269.08;38731230
SBER;D;240923;000000;269.32;273.8;269.3;273.17;49321720
SBER;D;240924;000000;273.83;273.94;270.5;272.92;36940480
SBER;D;240925;000000;272.93;273.8;267.3;267.8;43747450
SBER;D;240926;000000;267.6;269.76;265.41;267.88;31838840
SBER;D;240927;000000;268.5;269.7;267.17;268.07;18850980
SBER;D;240930;000000;269.25;272.33;268.14;268.49;42404640
SBER;D;241001;000000;267.64;268.68;264;266.29;51992710
SBER;D;241002;000000;266.28;268;258.52;259.31;46490120
SBER;D;241003;000000;259.31;264.49;257.2;264.25;56487900
SBER;D;241004;000000;264.95;265.44;262.11;264.09;25906840
SBER;D;241007;000000;264.25;267;261.37;263.39;28903960
SBER;D;241008;000000;263.19;263.8;261.89;262.4;16119810
SBER;D;241009;000000;262.55;263.8;259.59;260.86;24955850
SBER;D;241010;000000;260.89;261.64;258.91;259.98;17641350
SBER;D;241011;000000;259.81;260.07;256.8;256.94;24807370
SBER;D;241014;000000;256.47;263.91;254.1;261.28;64068170
SBER;D;241015;000000;260.94;263.7;259.84;262.03;26188700
SBER;D;241016;000000;262.06;264.72;258.45;259.5;40177540
SBER;D;241017;000000;259.5;260.45;256.03;256.57;24610370
SBER;D;241018;000000;256.5;258.9;254.41;257.19;29989090
SBER;D;241021;000000;257.27;259.85;256.78;258.21;21431740
SBER;D;241022;000000;258.1;258.8;255.25;255.42;17034860
SBER;D;241023;000000;255.25;255.9;251.34;252.01;30386580
SBER;D;241024;000000;252.02;254.27;250.25;252.64;28722160
SBER;D;241025;000000;252.76;255.35;245.7;246.35;80582460
SBER;D;241028;000000;245.07;249;241.61;242.56;71823960
SBER;D;241029;000000;243.19;244.6;239.88;242.66;47036950
SBER;D;241030;000000;242.86;246.22;241.11;241.45;39715140
SBER;D;241031;000000;241.39;242.8;236.23;237.9;57012180
SBER;D;241101;000000;237.91;239.1;234.57;238.03;48318530
SBER;D;241102;000000;237.88;240;237.71;238.97;14853190
SBER;D;241105;000000;239.61;241.2;238.07;239.23;28108960
SBER;D;241106;000000;247;248.56;242.05;243.6;77709700
SBER;D;241107;000000;243.26;251;242.16;250.93;44425190
SBER;D;241108;000000;251.5;255.99;250.5;255.98;57955250
SBER;D;241111;000000;257.98;261.3;256.49;260.73;67108770
SBER;D;241112;000000;259.99;260.7;255.27;255.77;40858380
SBER;D;241113;000000;255.3;258.96;254.05;254.7;44517870
SBER;D;241114;000000;254.3;255.92;248.6;249.52;48972450
SBER;D;241115;000000;249.4;254.43;248.05;253.43;44169640
SBER;D;241118;000000;249.09;251.94;247.3;248.72;51127080
SBER;D;241119;000000;249.05;249.83;239.62;240.59;75453920
SBER;D;241120;000000;241.8;243.59;234.74;237.05;70236990
SBER;D;241121;000000;237.16;240.94;234;240.47;75052950
SBER;D;241122;000000;240.55;241;234.78;236;45501870
SBER;D;241125;000000;236;237.1;227.25;227.81;76358230
SBER;D;241126;000000;227.81;231.9;221.2;223.16;96738220
SBER;D;241127;000000;223.88;226.47;219.2;226.3;112401690
SBER;D;241128;000000;227.06;229.5;222.48;228.56;67717140
SBER;D;241129;000000;228.48;236.99;227.55;236.49;70247610
SBER;D;241202;000000;237.09;238.7;234.32;235.17;45050170
SBER;D;241203;000000;235.29;235.97;230.26;230.8;45313800
SBER;D;241204;000000;231.05;233.79;224.3;224.55;72374990
SBER;D;241205;000000;224.6;233.75;222.82;233.48;86902200
SBER;D;241206;000000;233.63;238.25;231.52;237.84;81003410
SBER;D;241209;000000;239.27;240.51;236.75;237.29;52314320
SBER;D;241210;000000;238;238.01;230.65;230.82;58548350
SBER;D;241211;000000;230.5;234.39;229.22;234.19;64817940
SBER;D;241212;000000;234;235.95;228.52;229.02;59118900
SBER;D;241213;000000;228.89;231.33;227.85;228.7;46091280
SBER;D;241216;000000;228.6;229.05;224.38;225.53;54519260
SBER;D;241217;000000;225.58;227.49;223.72;226.5;45827690
SBER;D;241218;000000;226.72;230.8;224.33;230.15;58002020
SBER;D;241219;000000;230.17;234.99;227.71;229;123831990
SBER;D;241220;000000;229.32;258.98;228.03;257.6;235163880
SBER;D;241223;000000;260;270;256.51;264.9;162588610
SBER;D;241224;000000;264.93;266.79;261.02;264.34;83747800
SBER;D;241225;000000;263.64;273;260.31;271.69;125501440
SBER;D;241226;000000;272.02;274.25;269.1;269.56;75523970
SBER;D;241227;000000;269.69;272.16;268.57;271.2;52121690
SBER;D;241228;000000;271.37;273.99;270.4;272.83;39560080
SBER;D;241230;000000;273.99;279.49;273.7;279.43;52353840
